,Run Failed/Stopped Early,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth,Rec. LengthRatio,Rec. Levenshtein,Rec. WordRank,Rec. DepTreeDepth
55,TRUE,18.83,26.16,1.81,12.986,9.161,4000,256,2,0.4293450657,FALSE,0.800817161,0.0006935243092,fixed,100,5000,adam,0.19757362,0.7549494433,0.7325405129,0.2973820503,,,,
46,TRUE,18.23,25.93,1.32,8.857,8.598,4000,256,3,0.2736520231,FALSE,0.04669122268,7.34E-05,fixed,100,5000,adam,0.4306110097,0.09689885957,0.08007050738,0.189642831,,,,
89,TRUE,11.28,25.89,5.35,10.772,8.521,4000,256,5,0.467267226,FALSE,0.4097644463,0.0008021202858,fixed,100,5000,adam,0.9014416649,0.4034903283,0.8483057506,0.5520125337,,,,
42,TRUE,18.17,25.72,2.81,10.155,9.063,4000,256,2,0.5017522308,FALSE,0.2212354724,0.0005143567254,fixed,100,5000,adam,0.1666330113,0.9929929359,0.4022232365,0.06875059407,,,,
5,TRUE,15.94,25.3,2.1,13.362,10.771,4000,256,6,0.5965718344,FALSE,0.8442703244,6.37E-06,fixed,100,5000,adam,0.1677561264,0.8600498235,0.1059816302,0.7599023932,,,,
18,TRUE,9.64,25.3,5.22,11.053,7.781,4000,256,2,0.3243839228,FALSE,0.5225950868,0.0007216581985,fixed,100,5000,adam,0.9291060135,0.4072973635,0.4205325083,0.4061290701,,,,
16,TRUE,15.17,25.19,3.16,11.036,8.309,4000,256,9,0.2619541764,FALSE,0.4684440857,3.83E-05,fixed,100,5000,adam,0.5178756811,0.416363938,0.485769724,0.07431346145,,,,
59,TRUE,8.72,25.12,5.88,13.215,13.026,4000,256,5,0.8931651333,FALSE,0.3077718848,0.0006808953313,fixed,100,5000,adam,0.9057229502,0.3828998697,0.1104074876,0.7133368269,,,,
31,TRUE,15.42,25.11,1.81,13.103,10.212,4000,256,8,0.5565471568,FALSE,0.8696398705,0.0006683012357,fixed,100,5000,adam,0.1799951225,0.6282781252,0.9278606847,0.8768066617,,,,
73,TRUE,12.91,24.61,1.13,8.721,8.316,4000,256,7,0.2141650845,FALSE,0.06921209061,5.73E-06,fixed,100,5000,adam,0.1808664254,0.4435235223,0.334711847,0.6450196309,,,,
76,TRUE,7.32,22.94,4.15,11.102,8.769,4000,256,4,0.3260594194,FALSE,0.4397059546,8.97E-05,fixed,100,5000,adam,0.6323349017,0.3357337012,0.01287076784,0.1246240171,,,,
63,TRUE,8.33,22.93,3.25,13.294,12.966,4000,256,7,0.8782285016,FALSE,0.4868758248,0.0006197635291,fixed,100,5000,adam,0.6227027001,0.2853346455,0.3076046492,0.7263154318,,,,
90,TRUE,8.09,22.9,2.14,13.259,9.442,4000,256,9,0.4065637218,FALSE,0.8330154102,7.56E-06,fixed,100,5000,adam,0.07951568051,0.9357278357,0.2311564097,0.341977433,,,,
37,TRUE,8.05,22.89,3.53,13.572,12.773,4000,256,10,0.7942271023,FALSE,0.8979432667,3.07E-05,fixed,100,5000,adam,0.6418349428,0.2810165519,0.3575816842,0.7925495338,,,,
53,TRUE,7.93,22.83,1.1,8.631,8.42,4000,256,10,0.2578384008,FALSE,0.0369430763,6.68E-06,fixed,100,5000,adam,0.152845332,0.3840716965,0.1239798041,0.0197045466,,,,
20,TRUE,6.07,22.82,4.25,11.783,10.995,4000,256,7,0.7132018475,FALSE,0.2824791719,0.0007576044611,fixed,100,5000,adam,0.821949785,0.3092084988,0.3986881903,0.8529114958,,,,
21,TRUE,8.51,22.79,2.78,13.482,11.996,4000,256,8,0.7020201538,FALSE,0.8544455036,5.12E-06,fixed,100,5000,adam,0.5173117474,0.3016045927,0.169872952,0.334910562,,,,
